Births by year and month per place of event city,,,
,,,
BOOK_YEAR,MTH,CITY,COUNT(*)
1912,Apr,TORONTO,6
1913,Jun,TORONTO,9
1913,Mar,TORONTO,6
1913,Oct,TORONTO,8
1913,Sep,TORONTO,6
1914,Dec,TORONTO,7
1914,Jul,TORONTO,6
1914,Mar,TORONTO,7
1914,May,TORONTO,12
1915,Apr,TORONTO,12
1915,Aug,TORONTO,6
1915,Feb,TORONTO,8
1915,Jul,TORONTO,6
1915,Jun,TORONTO,8
1915,Mar,TORONTO,7
1915,May,TORONTO,7
1915,Nov,TORONTO,6
1915,Oct,TORONTO,7
1915,Sep,TORONTO,7
1916,Apr,TORONTO,8
1916,Dec,TORONTO,10
1916,Jul,TORONTO,11
1916,Jun,TORONTO,8
1916,Mar,TORONTO,10
1916,May,TORONTO,10
1916,Nov,TORONTO,7
1916,Oct,TORONTO,15
1916,Sep,TORONTO,9
1917,Apr,ALEXANDRIA,6
1917,Apr,ARNPRIOR,15
1917,Apr,ARTEMESIA TWP,6
1917,Apr,BARRIE,18
1917,Apr,BARTON TWP,9
1917,Apr,BELLEVILLE,23
1917,Apr,BLENHEIM TWP,7
1917,Apr,BLIND RIVER,8
1917,Apr,BONFIELD TWP,7
1917,Apr,BOWMANVILLE,8
1917,Apr,BRACEBRIDGE,6
1917,Apr,BRANTFORD,62
1917,Apr,BRANTFORD TWP,9
1917,Apr,BROCK TWP,6
1917,Apr,BROCKVILLE,20
1917,Apr,BYNG INLET,6
1917,Apr,CAMDEN TWP,6
1917,Apr,CARLETON PLACE,7
1917,Apr,CHAPLEAU TWP,9
1917,Apr,CHATHAM,25
1917,Apr,CHATHAM TWP,10
1917,Apr,CLARENCE TWP,7
1917,Apr,COBALT,26
1917,Apr,COBOURG,12
1917,Apr,COCHRANE,14
1917,Apr,COLEMAN TWP,7
1917,Apr,COLLINGWOOD,15
1917,Apr,COPPERCLIFF,9
1917,Apr,CORNWALL,23
1917,Apr,CORNWALL TWP,7
1917,Apr,CREIGHTON MINE,9
1917,Apr,CROWLAND,7
1917,Apr,CUMBERLAND TWP,8
1917,Apr,DEREHAM TWP,7
1917,Apr,DUNDAS,13
1917,Apr,DUNNVILLE,8
1917,Apr,DUNWICH TWP,6
1917,Apr,E ZORRA TWP,7
1917,Apr,EASTVIEW,10
1917,Apr,ELMA TWP,9
1917,Apr,ELMIRA,7
1917,Apr,EMILY TWP,6
1917,Apr,ENNISKILLEN TWP,7
1917,Apr,ERIN TWP,8
1917,Apr,ESQUESING TWP,7
1917,Apr,FLAMBOROUGH E,6
1917,Apr,FORD CITY,8
1917,Apr,FORT FRANCES,6
1917,Apr,FORT WILLIAM,71
1917,Apr,GALT,17
1917,Apr,GANANOQUE,7
1917,Apr,GODERICH,11
1917,Apr,GUELPH,31
1917,Apr,GUELPH TWP,10
1917,Apr,HAGARTY TWP,8
1917,Apr,HAILEYBURY,20
1917,Apr,HAMILTON,209
1917,Apr,HAMILTON TWP,7
1917,Apr,HANOVER,6
1917,Apr,HARWICH TWP,8
1917,Apr,HAWKESBURY,22
1917,Apr,HOWARD TWP,6
1917,Apr,HUMBERSTONE TWP,7
